CMDLINE python3 main.py
MEM 0.011719 1607445258.8521
MEM 14.914062 1607445258.9662
MEM 21.699219 1607445259.0797
MEM 21.699219 1607445259.1953
MEM 57.105469 1607445259.3097
MEM 64.035156 1607445259.4196
MEM 74.089844 1607445259.5300
MEM 84.273438 1607445259.6414
MEM 92.265625 1607445259.7520
MEM 100.312500 1607445259.8672
MEM 104.050781 1607445259.9781
MEM 112.808594 1607445260.0888
MEM 119.468750 1607445260.2015
MEM 126.496094 1607445260.3153
MEM 165.046875 1607445260.4280
MEM 223.011719 1607445260.5414
MEM 283.371094 1607445260.6538
MEM 341.101562 1607445260.7681
MEM 392.980469 1607445260.8842
MEM 478.503906 1607445260.9994
MEM 570.093750 1607445261.1098
MEM 664.050781 1607445261.2215
MEM 753.523438 1607445261.3345
MEM 841.765625 1607445261.4487
MEM 931.121094 1607445261.5628
MEM 1019.789062 1607445261.6766
MEM 1101.582031 1607445261.7872
MEM 1190.460938 1607445261.9025
MEM 1274.367188 1607445262.0125
MEM 1317.027344 1607445262.1276
MEM 1317.027344 1607445262.2408
MEM 1327.238281 1607445262.3527
MEM 1418.871094 1607445262.4673
MEM 1506.289062 1607445262.5786
MEM 1571.863281 1607445262.6937
MEM 1657.570312 1607445262.8089
MEM 1751.488281 1607445262.9233
MEM 1837.675781 1607445263.0345
MEM 1924.937500 1607445263.1467
MEM 2007.523438 1607445263.2608
MEM 2089.636719 1607445263.3759
MEM 2178.347656 1607445263.4902
MEM 2250.597656 1607445263.6028
MEM 2250.597656 1607445263.7162
MEM 2250.597656 1607445263.8320
MEM 2250.597656 1607445263.9473
MEM 2299.468750 1607445264.0598
MEM 2388.855469 1607445264.1758
MEM 2471.015625 1607445264.2916
MEM 2549.707031 1607445264.4030
MEM 2636.644531 1607445264.5172
MEM 2720.726562 1607445264.6288
MEM 2792.207031 1607445264.7390
MEM 2878.445312 1607445264.8517
MEM 2961.757812 1607445264.9629
MEM 3050.328125 1607445265.0755
MEM 3135.371094 1607445265.1866
MEM 3162.796875 1607445265.2996
MEM 3162.796875 1607445265.4106
MEM 3162.796875 1607445265.5254
MEM 3162.796875 1607445265.6404
MEM 3162.796875 1607445265.7512
MEM 3189.867188 1607445265.8661
MEM 3280.812500 1607445265.9800
MEM 3346.730469 1607445266.0944
MEM 3435.667969 1607445266.2095
MEM 3520.902344 1607445266.3220
MEM 3603.980469 1607445266.4321
MEM 3691.511719 1607445266.5461
MEM 3764.804688 1607445266.6599
MEM 3838.195312 1607445266.7749
MEM 3916.597656 1607445266.8903
MEM 4000.964844 1607445267.0044
MEM 4083.941406 1607445267.1187
MEM 4166.101562 1607445267.2289
MEM 4173.265625 1607445267.3430
MEM 4173.265625 1607445267.4567
MEM 4173.265625 1607445267.5670
MEM 4173.265625 1607445267.6810
MEM 4173.265625 1607445267.7927
MEM 4173.265625 1607445267.9035
MEM 4173.265625 1607445268.0161
MEM 4173.265625 1607445268.1273
MEM 4235.945312 1607445268.2419
MEM 4291.625000 1607445268.3528
MEM 4350.105469 1607445268.4675
MEM 4407.753906 1607445268.5829
MEM 4446.984375 1607445268.6945
MEM 4481.980469 1607445268.8046
MEM 4482.632812 1607445268.9154
MEM 4462.546875 1607445269.0299
MEM 4433.484375 1607445269.1434
MEM 4398.984375 1607445269.2560
MEM 4361.054688 1607445269.3695
MEM 4328.730469 1607445269.4807
MEM 4290.308594 1607445269.5953
MEM 4284.976562 1607445269.7102
MEM 4251.289062 1607445269.8220
MEM 4214.445312 1607445269.9323
MEM 4195.402344 1607445270.0464
MEM 4215.617188 1607445270.1576
MEM 4256.707031 1607445270.2716
MEM 4246.050781 1607445270.3833
MEM 4212.347656 1607445270.4939
MEM 4225.968750 1607445270.6104
MEM 4245.746094 1607445270.7257
MEM 4306.296875 1607445270.8370
MEM 4306.480469 1607445270.9492
MEM 4351.414062 1607445271.0649
MEM 4387.554688 1607445271.1783
MEM 4420.792969 1607445271.2888
MEM 4410.835938 1607445271.4041
MEM 4455.582031 1607445271.5178
MEM 4452.875000 1607445271.6282
MEM 4438.375000 1607445271.7390
MEM 4444.089844 1607445271.8565
MEM 4422.625000 1607445271.9711
MEM 4511.335938 1607445272.0817
MEM 4593.578125 1607445272.1952
MEM 4683.089844 1607445272.3091
MEM 4749.480469 1607445272.4229
MEM 4796.496094 1607445272.5333
MEM 4872.492188 1607445272.6446
MEM 4935.277344 1607445272.7566
MEM 4998.871094 1607445272.8676
MEM 5044.824219 1607445272.9807
MEM 5044.992188 1607445273.0957
MEM 5044.992188 1607445273.2111
MEM 5044.992188 1607445273.3218
MEM 5053.820312 1607445273.4362
MEM 5120.460938 1607445273.5495
MEM 5184.757812 1607445273.6595
MEM 5239.757812 1607445273.7745
MEM 5289.027344 1607445273.8856
MEM 5343.132812 1607445274.0017
MEM 5402.636719 1607445274.1135
MEM 5455.511719 1607445274.2250
MEM 5509.933594 1607445274.3394
MEM 5561.996094 1607445274.4526
MEM 5607.562500 1607445274.5661
MEM 5655.210938 1607445274.6832
MEM 5700.007812 1607445274.7994
MEM 5749.671875 1607445274.9109
MEM 5798.417969 1607445275.0235
MEM 5845.632812 1607445275.1354
MEM 5879.109375 1607445275.2589
MEM 5906.179688 1607445275.3739
MEM 5943.691406 1607445275.4911
MEM 5989.152344 1607445275.6061
MEM 5947.183594 1607445275.7188
MEM 5974.601562 1607445275.8353
MEM 6011.203125 1607445275.9518
MEM 6061.941406 1607445276.0660
MEM 6105.074219 1607445276.1785
MEM 6150.562500 1607445276.2955
MEM 6207.960938 1607445276.4068
MEM 6255.726562 1607445276.5177
MEM 6286.035156 1607445276.6291
MEM 6286.035156 1607445276.7446
MEM 6286.035156 1607445276.8563
MEM 6286.035156 1607445276.9687
MEM 6286.035156 1607445277.0809
MEM 6287.039062 1607445277.1941
MEM 6337.164062 1607445277.3082
MEM 6375.476562 1607445277.4186
MEM 6392.031250 1607445277.5310
MEM 6392.031250 1607445277.6478
MEM 6392.031250 1607445277.7662
MEM 6392.031250 1607445277.8788
MEM 6392.031250 1607445277.9946
MEM 6392.031250 1607445278.1078
MEM 6392.031250 1607445278.2222
MEM 6392.031250 1607445278.3351
MEM 6419.980469 1607445278.4456
MEM 6478.984375 1607445278.5569
MEM 6537.261719 1607445278.6669
MEM 6590.285156 1607445278.7817
MEM 6629.824219 1607445278.8968
MEM 6673.929688 1607445279.0104
MEM 6659.644531 1607445279.1222
MEM 6645.468750 1607445279.2383
MEM 6587.218750 1607445279.3525
